unit_id	year	sem	code	title	level	dept_own	dept_teach	location	mode	survey_method	enrolled	class_size_log10	size_bin	sem_ord	isclayton	ispostgrad	responses	setu_overall	ChiefExaminer
5309	2017	Semester 2	BFF2140	Corporate finance 1	2	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	494	2.694	5	Semester 2	0	0	136	4.33	349
5453	2017	Semester 2	ETF5330	Quantitative methods for financial markets	5	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Web	8	1.94	1	Semester 2	0	1	7	4.63	620
5512	2017	Semester 2	MGW3210	Organisational wellness	3	Department of Management	Department of Management	Berwick	On Campus	Web	136	2.134	4	Semester 2	0	0	37	4.4	114
5529	2017	Semester 2	MKF1120	Marketing theory and practice	1	Department of Marketing	Department of Marketing	Caulfield	On Campus	Web	705	2.848	5	Semester 2	0	0	231	4.31	475
4986	2017	Semester 1	BFF2751	Derivatives 1	2	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	250	2.398	5	Semester 1	0	0	95	4.36	480
5034	2017	Semester 1	BTF5060	Work and the law	5	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Web	26	1.415	1	Semester 1	0	1	16	4.7	383
5067	2017	Semester 1	ECC5470	Competition, regulation and policy	5	Department of Economics	Department of Economics	Clayton	On Campus	Web	20	1.415	1	Semester 1	1	1	12	4.64	192
5157	2017	Semester 1	MGF5360	Strategic management in the public sector	5	Department of Management	Department of Management	Caulfield	On Campus	Web	8	0.903	1	Semester 1	0	1	3	4.75	352
5169	2017	Semester 1	MGF5911	Geo-politics and business globalisation	5	Department of Management	Department of Management	Caulfield	On Campus	Web	42	1.623	2	Semester 1	0	1	18	4.68	112
5265	2017	Semester 2	ACF5950	Introduction to financial accounting	5	Accounting	Accounting	Caulfield	On Campus	Web	335	2.79	5	Semester 2	0	1	164	4.55	292
5474	2017	Semester 2	MGF1100	Managerial communication	1	Department of Management	Department of Management	Caulfield	On Campus	Web	266	2.425	5	Semester 2	0	0	76	4.37	297
4925	2017	Semester 1	ACF5320	Business analytics	5	Accounting	Accounting	Caulfield	On Campus	Web	24	1.38	1	Semester 1	0	1	14	4.72	362
4931	2017	Semester 1	ACF5950	Introduction to financial accounting	5	Accounting	Accounting	Caulfield	On Campus	Web	629	3.067	5	Semester 1	0	1	361	4.51	359
5020	2017	Semester 1	BFX4060	Issues in corporate finance	4	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	9	0.954	1	Semester 1	0	1	3	4.75	105
5190	2017	Semester 1	MGX5000	Introductory management research methods	5	Department of Management	Department of Management	Caulfield	On Campus	Web	3	0.954	1	Semester 1	0	1	3	4.75	527
5202	2017	Semester 1	MKF1120	Marketing theory and practice	1	Department of Marketing	Department of Marketing	Caulfield	On Campus	Web	676	2.83	5	Semester 1	0	0	281	4.31	34
5326	2017	Semester 2	BFF5250	Corporate treasury management	5	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	53	1.724	2	Semester 2	0	1	21	4.69	106
4960	2017	Semester 1	BEX5012	Industry placement	5	Dean Faculty of Business & Economics	Dean Faculty of Business & Economics	Caulfield	On Campus	Web	42	2.021	2	Semester 1	0	1	17	4.65	235
4985	2017	Semester 1	BFF2701	Equity markets	2	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	201	2.303	4	Semester 1	0	0	51	4.39	232
5000	2017	Semester 1	BFF5260	Treasury and financial markets	5	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	220	2.45	4	Semester 1	0	1	96	4.59	442
5296	2017	Semester 2	BFC2751	Derivatives 1	2	Banking & Finance	Banking & Finance	Clayton	On Campus	Web	387	2.588	5	Semester 2	1	0	137	4.31	232
5002	2017	Semester 1	BFF5280	Institutional asset and liability management	5	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	236	2.373	4	Semester 1	0	1	126	4.61	650
5142	2017	Semester 1	MGF1100	Managerial communication	1	Department of Management	Department of Management	Caulfield	On Campus	Web	227	2.356	4	Semester 1	0	0	77	4.39	425
